iter	Passed	Remaining
0	140	140300
1	141	70821
2	143	47667
3	144	36063
4	146	29110
5	147	24460
6	152	21571
7	154	19106
8	155	17155
9	157	15567
10	158	14265
11	160	13179
12	162	12356
13	168	11878
14	170	11179
15	171	10560
16	173	10019
17	174	9534
18	176	9098
19	178	8740
20	179	8390
21	181	8067
22	183	7783
23	184	7514
24	186	7270
25	187	7031
26	189	6815
27	190	6617
28	195	6535
29	196	6356
30	197	6187
31	199	6030
32	200	5882
33	202	5741
34	203	5606
35	204	5479
36	205	5356
37	208	5282
38	210	5183
39	211	5078
40	212	4979
41	214	4884
42	215	4793
43	216	4705
44	217	4622
45	219	4544
46	220	4469
47	224	4452
48	225	4384
49	227	4315
50	228	4249
51	229	4184
52	230	4122
53	231	4062
54	233	4006
55	235	3966
56	238	3938
57	239	3886
58	240	3834
59	241	3786
60	242	3738
61	244	3693
62	245	3648
63	246	3606
64	247	3565
65	249	3527
66	250	3493
67	252	3456
68	253	3419
69	254	3384
70	255	3349
71	257	3314
72	258	3282
73	259	3251
74	261	3219
75	262	3188
76	263	3158
77	267	3162
78	268	3133
79	269	3104
80	271	3077
81	272	3049
82	273	3016
83	274	2991
84	275	2966
85	276	2941
86	277	2916
87	281	2917
88	283	2900
89	284	2876
90	285	2854
91	286	2831
92	288	2809
93	289	2788
94	290	2766
95	291	2746
96	292	2726
97	294	2707
98	295	2692
99	297	2675
100	298	2656
101	299	2638
102	300	2620
103	302	2603
104	303	2585
105	304	2568
106	305	2551
107	307	2536
108	308	2519
109	311	2516
110	312	2501
111	313	2487
112	314	2471
113	316	2456
114	317	2441
115	318	2426
116	319	2410
117	320	2396
118	321	2382
119	322	2368
120	324	2356
121	325	2345
122	327	2333
123	328	2320
124	329	2308
125	331	2297
126	332	2283
127	333	2270
128	334	2258
129	335	2245
130	336	2233
131	337	2221
132	341	2227
133	343	2216
134	344	2206
135	345	2194
136	346	2183
137	347	2173
138	349	2164
139	350	2154
140	351	2143
141	352	2130
142	353	2120
143	356	2117
144	357	2108
145	358	2098
146	359	2088
147	361	2078
148	362	2069
149	363	2060
150	364	2051
151	366	2043
152	367	2034
153	369	2028
154	370	2020
155	371	2012
156	373	2003
157	374	1994
158	375	1985
159	376	1977
160	377	1966
161	378	1958
162	379	1950
163	380	1941
164	384	1946
165	385	1938
166	387	1930
167	388	1922
168	389	1915
169	390	1907
170	391	1899
171	393	1892
172	394	1884
173	395	1877
174	396	1870
175	398	1867
176	400	1860
177	401	1853
178	402	1846
179	403	1838
180	404	1832
181	406	1825
182	407	1819
183	408	1812
184	409	1805
185	411	1798
186	412	1793
187	414	1788
188	415	1781
189	416	1774
190	417	1768
191	418	1762
192	420	1756
193	421	1750
194	422	1743
195	423	1737
196	424	1730
197	427	1730
198	428	1726
199	430	1721
200	431	1717
201	433	1711
202	434	1705
203	435	1699
204	436	1694
205	438	1688
206	439	1682
207	440	1677
208	442	1673
209	443	1667
210	444	1662
211	446	1658
212	447	1652
213	448	1647
214	449	1642
215	451	1637
216	452	1632
217	454	1629
218	459	1637
219	460	1633
220	461	1627
221	463	1622
222	464	1617
223	465	1613
224	466	1608
225	468	1603
226	469	1599
227	474	1605
228	475	1601
229	477	1597
230	478	1592
231	479	1588
232	481	1583
233	482	1578
234	483	1574
235	484	1569
236	487	1569
237	489	1566
238	490	1562
239	491	1557
240	493	1552
241	494	1548
242	495	1543
243	496	1539
244	498	1534
245	499	1530
246	500	1525
247	505	1531
248	506	1526
249	507	1522
250	509	1518
251	510	1516
252	512	1511
253	513	1507
254	514	1503
255	515	1499
256	518	1499
257	520	1496
258	521	1492
259	522	1488
260	524	1484
261	525	1480
262	526	1476
263	528	1472
264	531	1473
265	532	1469
266	534	1466
267	535	1462
268	536	1458
269	537	1454
270	539	1450
271	540	1446
272	541	1442
273	543	1439
274	544	1435
275	547	1436
276	548	1432
277	550	1429
278	551	1425
279	552	1421
280	553	1417
281	555	1413
282	556	1409
283	557	1405
284	558	1401
285	560	1400
286	562	1397
287	563	1393
288	564	1389
289	566	1386
290	567	1382
291	568	1378
292	569	1374
293	571	1371
294	572	1367
295	573	1364
296	575	1361
297	577	1359
298	578	1355
299	579	1352
300	581	1349
301	582	1345
302	583	1342
303	584	1338
304	585	1334
305	586	1331
306	588	1328
307	593	1332
308	594	1330
309	596	1326
310	597	1323
311	598	1320
312	599	1316
313	601	1313
314	602	1309
315	604	1308
316	606	1307
317	608	1304
318	609	1300
319	610	1297
320	611	1294
321	613	1291
322	614	1288
323	615	1285
324	617	1281
325	621	1285
326	623	1282
327	624	1279
328	625	1276
329	627	1273
330	628	1270
331	629	1266
332	630	1263
333	632	1260
334	633	1257
335	638	1261
336	639	1258
337	640	1255
338	642	1252
339	643	1249
340	644	1246
341	646	1243
342	647	1239
343	648	1236
344	651	1237
345	653	1234
346	654	1231
347	655	1228
348	656	1224
349	657	1221
350	658	1218
351	660	1215
352	661	1212
353	662	1209
354	666	1210
355	667	1208
356	669	1205
357	670	1202
358	671	1199
359	672	1196
360	674	1193
361	675	1190
362	676	1187
363	677	1184
364	679	1182
365	681	1181
366	683	1178
367	684	1175
368	685	1172
369	686	1169
370	688	1166
371	689	1163
372	690	1160
373	691	1157
374	692	1154
375	697	1157
376	698	1154
377	699	1151
378	701	1148
379	702	1146
380	703	1143
381	704	1140
382	706	1137
383	707	1134
384	708	1131
385	713	1134
386	714	1131
387	715	1128
388	716	1125
389	717	1122
390	719	1119
391	720	1117
392	721	1114
393	722	1111
394	724	1108
395	726	1107
396	727	1104
397	728	1102
398	729	1099
399	731	1096
400	732	1093
401	733	1091
402	734	1088
403	736	1086
404	737	1083
405	739	1081
406	740	1079
407	742	1076
408	743	1074
409	744	1071
410	745	1068
411	747	1066
412	748	1063
413	749	1061
414	750	1058
415	751	1055
416	755	1056
417	758	1055
418	759	1052
419	760	1049
420	761	1047
421	762	1044
422	764	1042
423	765	1039
424	766	1037
425	768	1035
426	770	1033
427	771	1031
428	772	1028
429	774	1026
430	775	1023
431	776	1021
432	778	1018
433	779	1016
434	780	1013
435	781	1011
436	784	1010
437	786	1009
438	787	1006
439	788	1003
440	789	1001
441	791	998
442	792	996
443	793	993
444	794	991
445	796	988
446	797	986
447	799	984
448	800	982
449	802	980
450	803	977
451	804	975
452	805	973
453	806	970
454	808	968
455	809	965
456	810	963
457	811	960
458	813	958
459	815	956
460	816	954
461	817	952
462	818	949
463	820	947
464	821	944
465	822	942
466	823	940
467	824	937
468	826	935
469	830	936
470	831	933
471	832	931
472	833	929
473	834	926
474	836	924
475	837	921
476	838	919
477	839	916
478	840	914
479	842	912
480	843	910
481	845	908
482	846	906
483	847	903
484	848	901
485	850	899
486	851	896
487	852	894
488	853	892
489	854	889
490	856	887
491	859	887
492	861	885
493	862	883
494	863	881
495	865	879
496	866	876
497	867	874
498	868	872
499	869	869
500	871	867
501	874	867
502	876	865
503	877	863
504	879	861
505	880	859
506	881	857
507	882	854
508	883	852
509	885	850
510	886	848
511	887	846
512	889	844
513	891	842
514	892	840
515	893	838
516	894	835
517	896	833
518	897	831
519	898	829
520	899	827
521	901	825
522	904	824
523	905	822
524	907	820
525	908	818
526	909	816
527	910	814
528	911	811
529	912	809
530	914	807
531	915	805
532	916	802
533	919	802
534	920	799
535	921	797
536	922	795
537	924	793
538	925	791
539	926	789
540	927	787
541	928	784
542	930	782
543	931	780
544	935	780
545	936	778
546	937	776
547	939	774
548	940	772
549	941	770
550	943	768
551	944	766
552	945	764
553	946	762
554	950	761
555	951	760
556	953	758
557	954	756
558	955	753
559	956	751
560	958	749
561	959	747
562	960	745
563	961	743
564	975	750
565	976	748
566	977	746
567	979	744
568	982	744
569	983	742
570	984	739
571	986	737
572	987	735
573	988	733
574	989	731
575	990	729
576	992	727
577	993	725
578	997	725
579	998	723
580	999	721
581	1001	719
582	1002	716
583	1003	714
584	1004	712
585	1005	710
586	1007	708
587	1008	706
588	1010	705
589	1012	703
590	1013	701
591	1014	699
592	1015	696
593	1016	694
594	1017	692
595	1019	690
596	1020	688
597	1021	686
598	1022	684
599	1024	682
600	1027	681
601	1028	679
602	1029	677
603	1030	675
604	1031	673
605	1033	671
606	1035	670
607	1036	668
608	1038	666
609	1041	665
610	1042	664
611	1044	662
612	1046	660
613	1048	658
614	1050	657
615	1051	655
616	1053	653
617	1059	655
618	1061	653
619	1063	651
620	1066	651
621	1073	652
622	1076	651
623	1078	649
624	1080	648
625	1081	646
626	1084	645
627	1087	644
628	1089	642
629	1092	641
630	1096	640
631	1097	639
632	1099	637
633	1104	637
634	1106	636
635	1108	634
636	1110	632
637	1112	631
638	1114	629
639	1115	627
640	1119	626
641	1121	625
642	1123	623
643	1125	622
644	1127	620
645	1128	618
646	1131	617
647	1135	616
648	1137	615
649	1138	613
650	1140	611
651	1141	609
652	1143	607
653	1144	605
654	1145	603
655	1150	603
656	1151	601
657	1153	599
658	1155	597
659	1156	595
660	1158	594
661	1160	592
662	1161	590
663	1164	589
664	1167	587
665	1168	586
666	1171	584
667	1172	582
668	1174	581
669	1176	579
670	1181	579
671	1183	577
672	1184	575
673	1186	573
674	1187	571
675	1188	569
676	1189	567
677	1191	565
678	1192	563
679	1197	563
680	1199	561
681	1201	560
682	1202	558
683	1204	556
684	1205	554
685	1206	552
686	1207	550
687	1210	548
688	1211	546
689	1213	545
690	1214	543
691	1216	541
692	1218	539
693	1219	537
694	1221	536
695	1222	534
696	1227	533
697	1229	531
698	1230	530
699	1232	528
700	1233	526
701	1235	524
702	1236	522
703	1237	520
704	1241	519
705	1243	517
706	1245	516
707	1246	514
